Special Wall	100	Healthy	-1	0	0	0	0	Physical Attacker	100	Healthy	0	0	0	0	0	N	6	N	30	65	30	65	25	70	25	70	40	55	25	70	0	100	25	70	Swap	Physical Wall
Physical Attacker	100	Healthy	0	0	0	0	0	Special Wall	100	Healthy	-1	0	0	0	0	N	6	Y	40	55	25	70	0	100	25	70	30	65	30	65	25	70	25	70	Attack	MDM
Physical Attacker	100	Healthy	0	0	0	0	0	Special Wall	100	Healthy	-1	0	0	0	0	Y	6	Y	40	55	25	70	0	100	25	70	30	65	30	65	25	70	25	70	Swap	Special Attacker
Physical Wall	75	Toxic	0	0	0	0	0	Special Attacker	85	Healthy	0	0	0	0	0	N	6	N	40	45	0	85	0	100	0	100	100	0	10	75	5	95	10	90	Swap	SRP
Special Attacker	85	Healthy	0	0	0	0	0	Physical Wall	75	Toxic	0	0	0	0	0	N	6	Y	100	0	10	65	5	95	10	90	40	35	0	75	0	100	0	100	Attack	Offensive Cripple
Special Wall	65	Burn	0	0	0	0	0	Special Attacker	85	Healthy	0	0	0	0	0	N	6	N	30	50	30	50	25	70	25	70	10	75	5	80	5	90	35	60	Attack	Recovery
Special Attacker	85	Healthy	0	0	0	0	0	Special Wall	65	Burn	0	0	0	0	0	N	6	Y	10	55	5	55	5	90	35	60	30	30	30	30	25	70	25	70	Swap	SRP
Special Wall	90	Burn	0	0	0	0	0	Special Wall	100	Healthy	0	0	0	0	0	N	6	Y	25	70	25	70	25	70	25	70	25	70	10	90	5	90	10	90	Swap	SRP
Special Wall	100	Healthy	0	0	0	0	0	Special Wall	90	Burn	0	0	0	0	0	N	6	N	25	65	10	80	5	90	10	90	25	65	25	65	25	70	25	70	Swap	Special Attacker
Physical Wall	85	Healthy	0	0	0	0	0	Special Attacker	75	Healthy	0	0	0	0	0	N	6	N	0	75	0	75	0	100	0	100	45	25	30	40	5	85	10	80	Swap	SRP
Special Attacker	75	Healthy	0	0	0	0	0	Physical Wall	85	Healthy	0	0	0	0	0	N	6	Y	45	40	30	55	5	85	10	80	0	85	0	85	0	100	0	100	Attack	MDM
Special Wall	65	Burn	0	0	0	0	0	Special Attacker	75	Healthy	0	0	0	0	0	N	6	N	30	40	30	40	25	70	25	70	10	65	5	65	5	90	35	60	Attack	Recovery
Special Attacker	75	Healthy	0	0	0	0	0	Special Wall	65	Burn	0	0	0	0	0	N	6	Y	10	55	5	60	5	90	35	60	30	30	30	30	25	70	25	70	Swap	SRP
Special Wall	100	Burn	0	0	0	0	0	Special Wall	100	Healthy	0	0	0	0	0	N	6	Y	25	70	25	70	25	70	25	70	25	70	10	90	5	80	10	75	Swap	SRP
Special Wall	100	Healthy	0	0	0	0	0	Special Wall	100	Burn	0	0	0	0	0	N	6	N	25	70	10	90	5	80	10	75	25	70	25	70	25	70	25	70	Attack	MDM2
Physical Wall	60	Healthy	0	0	0	0	0	Special Wall	90	Healthy	0	0	0	0	0	N	6	Y	0	85	0	85	0	100	0	100	10	75	10	75	10	50	10	50	Attack	Recovery
Special Wall	90	Healthy	0	0	0	0	0	Physical Wall	60	Healthy	0	0	0	0	0	N	6	N	10	50	10	50	10	50	10	50	0	60	0	60	0	100	0	100	Swap	Special Attacker
Physical Wall	100	Healthy	0	0	0	0	0	Special Attacker	60	Healthy	0	0	0	0	0	N	6	N	0	60	0	60	0	100	0	100	45	15	30	30	5	90	10	90	Swap	SRP
Special Attacker	60	Healthy	0	0	0	0	0	Physical Wall	100	Healthy	0	0	0	0	0	N	6	Y	45	50	30	65	5	90	10	90	0	100	0	100	0	100	0	100	Attack	MDM
Special Wall	70	Burn	0	0	0	0	0	Special Attacker	60	Healthy	0	0	0	0	0	N	6	N	30	25	30	25	25	60	25	60	10	50	5	55	5	90	35	60	Attack	MDM
Special Attacker	60	Healthy	0	0	0	0	0	Special Wall	70	Burn	0	0	0	0	0	N	6	Y	10	60	5	65	5	90	35	60	30	40	30	40	25	60	25	60	Attack	MDM
Special Attacker	30	Healthy	0	0	0	0	0	Special Wall	70	Burn	0	0	0	0	0	N	6	Y	10	60	5	60	5	90	35	60	30	35	30	35	25	60	25	60	Swap	Physical Attacker
Special Wall	70	Burn	-1	0	0	0	0	Physical Attacker	100	Healthy	0	0	0	0	0	N	6	N	30	65	30	65	25	60	25	60	40	55	25	70	0	100	25	70	Attack	Recovery
Physical Attacker	100	Healthy	0	0	0	0	0	Special Wall	70	Burn	-1	0	0	0	0	N	6	Y	40	30	25	40	0	100	25	70	30	40	30	40	25	60	25	60	Attack	MDM
Physical Attacker	100	Healthy	0	0	0	0	0	Special Wall	70	Burn	-1	0	0	0	0	Y	6	Y	40	30	25	40	0	100	25	70	30	40	30	40	25	60	25	60	Swap	Special Wall
Special Wall	100	Burn	-1	0	0	0	0	Special Wall	90	Healthy	0	0	0	0	0	N	6	Y	25	60	25	60	25	60	25	60	25	60	10	75	5	90	10	90	Swap	SRP
Physical Wall	75	Healthy	0	0	0	0	0	Special Wall	100	Healthy	0	0	0	0	0	N	6	Y	0	100	0	100	0	100	0	100	10	90	10	90	10	65	10	65	Attack	Pure Cripple
Special Wall	100	Healthy	0	0	0	0	0	Physical Wall	75	Healthy	0	0	0	0	0	N	6	N	10	65	10	65	10	65	10	65	0	75	0	75	0	100	0	100	Swap	Special Attacker
Physical Wall	60	Healthy	0	0	0	0	0	Special Attacker	25	Toxic	0	0	0	0	0	N	6	N	0	20	0	20	0	100	0	100	45	0	30	0	5	90	10	90	Swap	SRP
Special Attacker	25	Toxic	0	0	0	0	0	Physical Wall	60	Healthy	0	0	0	0	0	N	6	Y	45	15	30	30	5	90	10	90	0	60	0	60	0	100	0	100	Attack	MDM
Special Attacker	10	Toxic	0	0	0	0	0	Special Wall	85	Burn	0	0	0	0	0	N	6	Y	10	75	5	75	5	90	35	60	30	50	30	50	25	70	25	70	Swap	SDP
