10,000,000 Volt Thunderbolt	Electric	Special	195	0	1	Pikachu-exclusive Z-Move.	0
Absorb	Grass	Special	20	100	25	User recovers half the HP inflicted on opponent.	0
Accelerock	Rock	Physical	40	100	20	User attacks first.	0
Acid	Poison	Special	40	100	30	May lower opponent's Special Defense.	10
Acid Armor	Poison	Status	0	0	20	Sharply raises user's Defense.	0
Acid Downpour	Poison	Special	0	0	1	Poison type Z-Move.	0
Acid Spray	Poison	Special	40	100	20	Sharply lowers opponent's Special Defense.	100
Acrobatics	Flying	Physical	55	100	15	Stronger when the user does not have a held item.	0
Acupressure	Normal	Status	0	0	30	Sharply raises a random stat.	0
Aerial Ace	Flying	Physical	60	∞	20	Ignores Accuracy and Evasiveness.	0
Aeroblast	Flying	Special	100	95	5	High critical hit ratio.	0
After You	Normal	Status	0	0	15	Gives target priority in the next turn.	0
Agility	Psychic	Status	0	0	30	Sharply raises user's Speed.	0
Air Cutter	Flying	Special	60	95	25	High critical hit ratio.	0
Air Slash	Flying	Special	75	95	20	May cause flinching.	30
All-Out Pummeling	Fighting	Special	0	0	1	Fighting type Z-Move.	0
Ally Switch	Psychic	Status	0	0	15	User switches with opposite teammate.	0
Amnesia	Psychic	Status	0	0	20	Sharply raises user's Special Defense.	0
Anchor Shot	Steel	Physical	80	100	20	The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.	0
Ancient Power	Rock	Special	60	100	5	May raise all user's stats at once.	10
Aqua Jet	Water	Physical	40	100	20	User attacks first.	0
Aqua Ring	Water	Status	0	0	20	Restores a little HP each turn.	0
Aqua Tail	Water	Physical	90	90	10		0
Arm Thrust	Fighting	Physical	15	100	20	Hits 2-5 times in one turn.	0
Aromatherapy	Grass	Status	0	0	5	Cures all status problems in your party.	0
Aromatic Mist	Fairy	Status	0	0	20	Raises Special Defense of allies.	0
Assist	Normal	Status	0	0	20	User performs a move known by its allies at random.	0
Assurance	Dark	Physical	60	100	10	Power doubles if opponent already took damage in the same turn.	0
Astonish	Ghost	Physical	30	100	15	May cause flinching.	30
Attack Order	Bug	Physical	90	100	15	High critical hit ratio.	0
Attract	Normal	Status	0	100	15	If opponent is the opposite gender, it's less likely to attack.	0
Aura Sphere	Fighting	Special	80	∞	20	Ignores Accuracy and Evasiveness.	0
Aurora Beam	Ice	Special	65	100	20	May lower opponent's Attack.	10
Aurora Veil	Ice	Status	0	0	20	Halves damage from Physical and Special attacks for five turns.	0
Autotomize	Steel	Status	0	0	15	Reduces weight and sharply raises Speed.	0
Avalanche	Ice	Physical	60	100	10	Power doubles if user took damage first.	0
Baby-Doll Eyes	Fairy	Status	0	100	30	Always goes first. Lowers the target's attack.	0
Baddy Bad	Dark	Special	90	100	15	Reduces damage from Physical attacks.	0
Baneful Bunker	Poison	Status	0	0	10	Protects the user and poisons opponent on contact.	0
Barrage	Normal	Physical	15	85	20	Hits 2-5 times in one turn.	0
Barrier	Psychic	Status	0	0	20	Sharply raises user's Defense.	0
Baton Pass	Normal	Status	0	0	40	User switches out and gives stat changes to the incoming Pokémon.	0
Beak Blast	Flying	Physical	100	100	15	The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.	0
Beat Up	Dark	Physical	0	100	30	Each Pokémon in your party attacks.	0
Belch	Poison	Special	120	90	10	User must have consumed a Berry.	0
Belly Drum	Normal	Status	0	0	10	User loses 50% of its max HP, but Attack raises to maximum.	0
Bestow	Normal	Status	0	0	15	Gives the user's held item to the target.	0
Bide	Normal	Physical	0	0	10	User takes damage for two turns then strikes back double.	0
Bind	Normal	Physical	15	85	20	Traps opponent, damaging them for 4-5 turns.	0
Bite	Dark	Physical	60	100	25	May cause flinching.	30
Black Hole Eclipse	Dark	Special	0	0	1	Dark type Z-Move.	0
Blast Burn	Fire	Special	150	90	5	User must recharge next turn.	0
Blaze Kick	Fire	Physical	85	90	10	High critical hit ratio. May burn opponent.	10
Blizzard	Ice	Special	110	70	5	May freeze opponent.	10
Block	Normal	Status	0	0	5	Opponent cannot flee or switch.	0
Bloom Doom	Grass	Special	0	0	1	Grass type Z-Move.	0
Blue Flare	Fire	Special	130	85	5	May burn opponent.	20
Body Slam	Normal	Physical	85	100	15	May paralyze opponent.	30
Bolt Strike	Electric	Physical	130	85	5	May paralyze opponent.	20
Bone Club	Ground	Physical	65	85	20	May cause flinching.	10
